id,startup_id,assigned_to_id,assigned_to_type,assigned_by,assigned_at
af71bce5-09fe-415b-9252-d5e1c25c3cb6,774b55bb-3e80-4243-9520-e3b7b33672bc,710e6054-2c20-4b1d-a61f-e40ed2e9fead,venture_analyst,admin-001,2025-10-27T07:15:49.750280+00:00
49259847-32a9-41c1-a83b-0a848fb5f8cf,3739a243-83a0-4a7d-8ba1-b4b3a7b211d9,710e6054-2c20-4b1d-a61f-e40ed2e9fead,venture_analyst,admin-001,2025-10-27T07:20:39.329844+00:00
adff2629-8970-4e7e-a71b-fdbc54b1a80b,9d14299d-e69e-40f6-a95b-13ae4fe0ad61,710e6054-2c20-4b1d-a61f-e40ed2e9fead,venture_analyst,admin-001,2025-10-27T09:47:48.409976+00:00
50b34875-170a-48ad-82ea-c5da41c58380,9d14299d-e69e-40f6-a95b-13ae4fe0ad61,b3e817b9-cffd-4175-bf6a-7a6ba7f57b0d,incubation_admin,admin-001,2025-10-27T10:09:49.383480+00:00
6daf8e32-835c-4bc4-8638-3db4bbb6468b,24c0b9e1-1c13-4add-b869-396bcde48307,710e6054-2c20-4b1d-a61f-e40ed2e9fead,venture_analyst,admin-001,2025-10-27T11:10:37.194230+00:00
05837a54-f315-4f24-ad07-66497cde77c7,66eeac3d-3f3e-4917-881f-ae07566db3dc,710e6054-2c20-4b1d-a61f-e40ed2e9fead,venture_analyst,admin-001,2025-10-27T12:30:09.963989+00:00
8fb24442-2c93-4f14-a91c-8ffcb3413868,66eeac3d-3f3e-4917-881f-ae07566db3dc,b3e817b9-cffd-4175-bf6a-7a6ba7f57b0d,incubation_admin,admin-001,2025-10-27T12:33:42.946279+00:00
bdd23494-bbdf-4cc5-a823-98ea58637658,233b86e9-1efe-41fb-9720-5ecbb90b9f55,710e6054-2c20-4b1d-a61f-e40ed2e9fead,venture_analyst,admin-001,2025-10-28T07:39:17.780914+00:00
7b257be0-f56d-4b81-916d-a871e9b6d4e7,40548211-1347-4c52-96bb-7f43a2a3205f,cd9711ab-b7c6-4274-ae90-5189568a17f6,venture_analyst,admin-001,2025-10-29T09:59:21.743565+00:00
b86b3e7b-7222-48a5-81ff-7643caa21f8c,40548211-1347-4c52-96bb-7f43a2a3205f,b3e817b9-cffd-4175-bf6a-7a6ba7f57b0d,incubation_admin,admin-001,2025-10-29T10:49:54.340977+00:00
d6181bd7-4b49-4323-b835-d660fbafc722,04850681-280e-4452-a827-32111a7e4608,b3e817b9-cffd-4175-bf6a-7a6ba7f57b0d,incubation_admin,admin-001,2025-10-29T11:46:35.850995+00:00
